V,A,C,T
4.857142857142857,27,2.7,5
3.2857142857142856,46,2.8,6
3.142857142857143,20,2.8,5
1.8571428571428572,37,1.9,7
1.1428571428571428,58,1.7,6
1,56,1.7,7
5.285714285714286,46,2.3,7
1.5714285714285714,62,1.5,6
1.2857142857142858,21,1.6,6
2,67,2.4,6
2,39,1.8,6
1.1428571428571428,62,1.4,7
1,49,1.9,7
1,26,1.7,6
1,44,1.9,7
2.857142857142857,52,2.4,5
1,60,2,6
1.7142857142857142,30,1.8,6
1.8571428571428572,34,2.4,6
1,22,1.8,6
2.2857142857142856,58,1.8,7
4.428571428571429,43,3.4,2
1,77,1.7,7
2.142857142857143,60,1.8,5
1.5714285714285714,55,1.6,7
1.2857142857142858,49,1.7,7
4,62,2.6,5
2.857142857142857,32,2.8,6
1.1428571428571428,43,2.1,6
1.7142857142857142,25,1.8,7
2.142857142857143,25,2.5,6
2.857142857142857,28,2.2,5
2,57,1.5,7
1.4285714285714286,34,1.9,6
2.142857142857143,40,1.7,6
1.7142857142857142,71,1.6,6
4.857142857142857,28,3,4
4.428571428571429,44,2.8,3
2.857142857142857,47,2.3,5
2,62,1.8,6
5,44,3.4,5
3,47,2.4,6
3.857142857142857,79,2.8,5
1.5714285714285714,43,1.6,5
1.1428571428571428,77,1.5,7
2.2857142857142856,63,2.5,6
3.2857142857142856,51,2.7,6
3.142857142857143,51,2.6,5
2.2857142857142856,27,2.1,6
2.7142857142857144,64,2.4,5
1.7142857142857142,29,2.4,6
1.1428571428571428,57,1.6,6
2,47,2.5,5
1,29,1.5,7
2.142857142857143,36,1.8,6
1,32,1.7,7
1.8571428571428572,31,2.2,6
1.4285714285714286,36,1.5,5
2.2857142857142856,51,1.8,6
